Company_Name;period;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;d1;d2;d3;d4;d5;d6;year;yearfory;periodfory;t;u
ACME COMMUNICATIONS INC;1;0;2.055498182;0.067685863;2.174518046;0.169530407;0.14718413;0.688906494;0.62945813;-0.173602611;-0.558039973;1.982887224;1;0;0;0;0;0;1999;2002;4;0;3
ACME COMMUNICATIONS INC;2;0;1.998776956;0.077687792;2.366685996;0.217710164;0.183862609;0.736319143;0.692304546;-0.055171551;-0.209236086;0.51966636;0;1;0;0;0;0;2000;2003;5;1;4
ACME COMMUNICATIONS INC;3;0;1.255451082;0.025979128;6.970254626;0.207585238;0.181081137;0.798395559;0.759882536;-0.071975003;-0.357011;0.365450603;0;0;1;0;0;0;2001;2004;6;2;5
ACME COMMUNICATIONS INC;4;0;3.018899014;0.40500056;0.226059004;0.232138022;0.091554023;0.942811155;0.923443233;-0.142332611;-2.488817748;0.360040185;0;0;0;1;0;0;2002;2005;7;3;6
ACME COMMUNICATIONS INC;5;0;1.019094797;0.002466378;102.5047251;0.291138308;0.252815394;0.432122248;0.222625674;0.436083578;0.767918053;1.981696115;0;0;0;0;1;0;2003;2006;8;4;7
ACTUATE SOFTWARE CORP;1;0;2.773902932;0.613498165;0.89580603;13.51792309;0.549575355;0.345846525;0;-0.079551736;-0.121610202;19.77152352;1;0;0;0;0;0;1998;2001;4;0;3
ACTUATE SOFTWARE CORP;2;0;1.953966432;0.388602687;2.255158111;4.294987153;0.876360502;0.407354676;0;0.072797437;0.122834745;54.69150388;0;1;0;0;0;0;1999;2002;5;1;4
ACTUATE SOFTWARE CORP;3;0;1.59109178;0.236335714;4.616086414;2.998462536;1.090946077;0.420506091;0;0.054911414;0.094757534;26.77962572;0;0;1;0;0;0;2000;2003;6;2;5
ACTUATE SOFTWARE CORP;4;0;1.628402367;0.239737289;4.442596733;2.811956017;1.065056095;0.394527689;0;-0.054663475;-0.09028237;6.835729582;0;0;0;1;0;0;2001;2004;7;3;6
ACTUATE SOFTWARE CORP;5;0;1.700757665;0.275498912;3.654147418;3.038156461;1.006713637;0.553441661;0;-0.234894315;-0.526010366;1.760915969;0;0;0;0;1;0;2002;2005;8;4;7
ACTUATE SOFTWARE CORP;6;0;1.658025801;0.267094649;3.856562682;3.150030146;1.030067255;0.554454371;0;-0.044346488;-0.099532989;3.385627036;0;0;0;0;0;1;2003;2006;9;5;8
ADAMS GOLF INC;1;0;10.22663187;0.546993995;1.596223137;2.217618074;0.87312447;0.089942832;0;0.129094174;0.141852818;10.55811497;1;0;0;0;0;0;1998;2001;4;0;3
ADAMS GOLF INC;2;0;12.97843007;0.647362097;1.002469045;2.173388085;0.648960463;0.058154068;0;-0.12725634;-0.135113754;7.549080396;0;1;0;0;0;0;1999;2002;5;1;4
ADAMS GOLF INC;3;0;6.334106372;0.721989705;1.230370131;6.226932731;0.888314569;0.136734607;0;-0.779328674;-0.90276835;1.397516984;0;0;1;0;0;0;2000;2003;6;2;5
ADAMS GOLF INC;4;0;4.740506339;0.696093078;2.029218767;11.98975873;1.412525138;0.206492387;0;-0.385205401;-0.485446383;1.188425152;0;0;0;1;0;0;2001;2004;7;3;6
ADAMS GOLF INC;5;0;3.891835759;0.684620622;2.094861877;18.23809524;1.434185641;0.263333082;0.00010268;-0.337582268;-0.458256316;0.807239298;0;0;0;0;1;0;2002;2005;8;4;7
ADAMS GOLF INC;6;0;4.030760704;0.727789978;2.326109815;52.77904632;1.692919412;0.26039795;0.003586157;0.066646703;0.090111571;2.039458212;0;0;0;0;0;1;2003;2006;9;5;8
ADAPTIVE SOLUTIONS INC;1;0;5.930325137;0.764088852;0.364602962;3.442185511;0.278589059;0.159090909;0.004867957;-0.480049363;-0.570869513;13.32870072;1;0;0;0;0;0;1993;1996;4;0;3
ADAPTIVE SOLUTIONS INC;2;0;7.295432464;0.765540063;0.624729853;4.2376964;0.478255731;0.134365398;0.0145298;-0.567596313;-0.655699658;18.83531222;0;1;0;0;0;0;1994;1997;5;1;4
ADAPTIVE SOLUTIONS INC;3;0;3.28288707;0.575579688;1.831888495;6.119818248;1.054397808;0.300655513;0.064887493;-0.333822522;-0.477336318;10.51911813;0;0;1;0;0;0;1995;1998;6;2;5
ADAPTIVE SOLUTIONS INC;4;1;1.972489679;0.392124236;2.572489401;4.928861746;1.00873544;0.439129231;0.06017658;-0.769550749;-1.372064281;2.679336591;0;0;0;1;0;0;1996;1999;7;3;6
